# F1130W
# photon
# Angstroems	Transmission JWST/MIRI/F1130W
  102390.0032043457    0.0     
  102449.99885559082   0.0     
  102510.0040435791    1.0E-4  
  102569.99969482422   1.0E-4  
  102629.99534606934   1.0E-4  
  102679.99649047852   1.0E-4  
  102740.0016784668    1.0E-4  
  102799.99732971191   1.0E-4  
  102860.0025177002    1.0E-4  
  102919.99816894531   1.0E-4  
  102969.99931335449   1.0E-4  
  103030.00450134277   1.0E-4  
  103090.00015258789   1.0E-4  
  103149.99580383301   1.0E-4  
  103210.00099182129   1.0E-4  
  103260.00213623047   2.0E-4  
  103319.99778747559   2.0E-4  
  103380.00297546387   2.0E-4  
  103439.99862670898   2.0E-4  
  103500.00381469727   2.0E-4  
  103549.99542236328   2.0E-4  
  103610.00061035156   2.0E-4  
  103669.99626159668   2.0E-4  
  103730.00144958496   2.0E-4  
  103789.99710083008   2.0E-4  
  103839.99824523926   2.0E-4  
  103900.00343322754   3.0E-4  
  103959.99908447266   3.0E-4  
  104020.00427246094   3.0E-4  
  104079.99992370605   3.0E-4  
  104130.00106811523   3.0E-4  
  104189.99671936035   3.0E-4  
  104250.00190734863   3.0E-4  
  104309.99755859375   4.0E-4  
  104370.00274658203   4.0E-4  
  104420.00389099121   4.0E-4  
  104479.99954223633   4.0E-4  
  104540.00473022461   4.0E-4  
  104600.00038146973   4.0E-4  
  104659.99603271484   4.0E-4  
  104709.99717712402   5.0E-4  
  104770.0023651123    5.0E-4  
  104829.99801635742   5.0E-4  
  104890.0032043457    6.0E-4  
  104949.99885559082   6.0E-4  
  105000.0             6.0E-4  
  105059.99565124512   7.0E-4  
  105120.0008392334    7.0E-4  
  105179.99649047852   8.0E-4  
  105240.0016784668    8.0E-4  
  105290.00282287598   9.0E-4  
  105349.9984741211    0.001   
  105410.00366210938   0.001   
  105469.99931335449   0.0011  
  105530.00450134277   0.0012  
  105579.99610900879   0.0012  
  105640.00129699707   0.0013  
  105699.99694824219   0.0014  
  105760.00213623047   0.0015  
  105819.99778747559   0.0017  
  105869.99893188477   0.0018  
  105930.00411987305   0.0019  
  105989.99977111816   0.0021  
  106049.99542236328   0.0022  
  106110.00061035156   0.0024  
  106160.00175476074   0.0026  
  106219.99740600586   0.0028  
  106280.00259399414   0.003   
  106339.99824523926   0.0033  
  106400.00343322754   0.0035  
  106450.00457763672   0.0038  
  106510.00022888184   0.0041  
  106569.99588012695   0.0044  
  106630.00106811523   0.0048  
  106689.99671936035   0.0052  
  106739.99786376953   0.0056  
  106800.00305175781   0.0061  
  106859.99870300293   0.0066  
  106920.00389099121   0.0072  
  106979.99954223633   0.0077  
  107030.00068664551   0.0084  
  107089.99633789062   0.0091  
  107150.0015258789    0.0098  
  107209.99717712402   0.0106  
  107270.0023651123    0.0115  
  107320.00350952148   0.0124  
  107379.9991607666    0.0134  
  107440.00434875488   0.0145  
  107500.0             0.0157  
  107559.99565124512   0.0168  
  107609.9967956543    0.0181  
  107670.00198364258   0.0196  
  107729.9976348877    0.0211  
  107790.00282287598   0.0226  
  107849.9984741211    0.0244  
  107899.99961853027   0.0263  
  107959.99526977539   0.0281  
  108020.00045776367   0.0302  
  108079.99610900879   0.0326  
  108140.00129699707   0.035   
  108190.00244140625   0.0375  
  108249.99809265137   0.0405  
  108310.00328063965   0.0436  
  108369.99893188477   0.0467  
  108430.00411987305   0.0501  
  108479.99572753906   0.054   
  108540.00091552734   0.0579  
  108599.99656677246   0.0618  
  108660.00175476074   0.0667  
  108719.99740600586   0.0715  
  108769.99855041504   0.0763  
  108830.00373840332   0.0818  
  108889.99938964844   0.0877  
  108950.00457763672   0.0936  
  109010.00022888184   0.0996  
  109060.00137329102   0.1067  
  109119.99702453613   0.1138  
  109180.00221252441   0.1208  
  109239.99786376953   0.1287  
  109300.00305175781   0.1369  
  109350.00419616699   0.1451  
  109409.99984741211   0.1536  
  109469.99549865723   0.1627  
  109530.00068664551   0.1718  
  109589.99633789062   0.1809  
  109639.9974822998    0.1901  
  109700.00267028809   0.1993  
  109759.9983215332    0.2085  
  109820.00350952148   0.2175  
  109879.9991607666    0.2262  
  109930.00030517578   0.2349  
  109989.9959564209    0.2435  
  110050.00114440918   0.2514  
  110109.9967956543    0.2591  
  110170.00198364258   0.2668  
  110220.00312805176   0.274   
  110279.99877929688   0.2804  
  110340.00396728516   0.2868  
  110399.99961853027   0.2932  
  110459.99526977539   0.298   
  110509.99641418457   0.3028  
  110570.00160217285   0.3075  
  110629.99725341797   0.3115  
  110690.00244140625   0.3149  
  110749.99809265137   0.3182  
  110799.99923706055   0.3214  
  110860.00442504883   0.3238  
  110920.00007629395   0.3262  
  110979.99572753906   0.3287  
  111040.00091552734   0.3306  
  111090.00205993652   0.3324  
  111149.99771118164   0.3341  
  111210.00289916992   0.3358  
  111269.99855041504   0.337   
  111330.00373840332   0.3383  
  111379.99534606934   0.3395  
  111440.00053405762   0.3405  
  111499.99618530273   0.3414  
  111560.00137329102   0.3422  
  111619.99702453613   0.343   
  111669.99816894531   0.3435  
  111730.0033569336    0.344   
  111789.99900817871   0.3445  
  111850.00419616699   0.3448  
  111909.99984741211   0.345   
  111960.00099182129   0.3452  
  112019.9966430664    0.3454  
  112080.00183105469   0.3453  
  112139.9974822998    0.3453  
  112200.00267028809   0.3453  
  112250.00381469727   0.3451  
  112309.99946594238   0.3449  
  112370.00465393066   0.3447  
  112430.00030517578   0.3444  
  112489.9959564209    0.344   
  112539.99710083008   0.3437  
  112600.00228881836   0.3434  
  112659.99794006348   0.343   
  112720.00312805176   0.3426  
  112779.99877929688   0.3423  
  112829.99992370605   0.3419  
  112889.99557495117   0.3416  
  112950.00076293945   0.3412  
  113009.99641418457   0.3409  
  113070.00160217285   0.3406  
  113120.00274658203   0.3403  
  113179.99839782715   0.3401  
  113240.00358581543   0.3399  
  113299.99923706055   0.3397  
  113360.00442504883   0.3396  
  113409.99603271484   0.3395  
  113470.00122070312   0.3396  
  113529.99687194824   0.3396  
  113590.00205993652   0.3397  
  113649.99771118164   0.3399  
  113699.99885559082   0.3401  
  113760.0040435791    0.3404  
  113819.99969482422   0.3407  
  113879.99534606934   0.341   
  113940.00053405762   0.3413  
  113990.0016784668    0.3417  
  114049.99732971191   0.3421  
  114110.0025177002    0.3425  
  114169.99816894531   0.3429  
  114230.0033569336    0.3433  
  114280.00450134277   0.3437  
  114340.00015258789   0.3442  
  114399.99580383301   0.3446  
  114460.00099182129   0.345   
  114519.9966430664    0.3453  
  114569.99778747559   0.3457  
  114630.00297546387   0.346   
  114689.99862670898   0.3461  
  114750.00381469727   0.3463  
  114809.99946594238   0.3465  
  114860.00061035156   0.3464  
  114919.99626159668   0.3462  
  114980.00144958496   0.3461  
  115039.99710083008   0.3458  
  115100.00228881836   0.3454  
  115150.00343322754   0.3451  
  115209.99908447266   0.3444  
  115270.00427246094   0.3427  
