# F277W
# photon
# Angstroems	Transmission JWST/NIRCam/F277W
23179	1.20E-05
23191	1.53E-05
23203	1.75E-05
23215	2.03E-05
23227	2.34E-05
23239	2.64E-05
23251	3.17E-05
23263	3.53E-05
23275	3.86E-05
23287	4.29E-05
23299	4.73E-05
23311	5.52E-05
23323	6.00E-05
23335	6.63E-05
23347	7.47E-05
23359	8.26E-05
23371	9.44E-05
23383	1.04E-04
23395	1.15E-04
23407	1.30E-04
23419	1.44E-04
23431	1.62E-04
23443	1.82E-04
23455	2.07E-04
23467	2.36E-04
23479	2.70E-04
23491	3.11E-04
23503	3.60E-04
23515	4.20E-04
23527	4.92E-04
23539	5.76E-04
23551	6.85E-04
23563	8.14E-04
23575	9.69E-04
23587	1.16E-03
23599	1.40E-03
23611	1.73E-03
23623	2.11E-03
23635	2.58E-03
23647	3.16E-03
23659	3.89E-03
23671	4.88E-03
23683	5.99E-03
23695	7.33E-03
23707	8.91E-03
23719	1.08E-02
23731	1.31E-02
23743	1.55E-02
23755	1.81E-02
23767	2.09E-02
23779	2.39E-02
23791	2.71E-02
23803	3.02E-02
23815	3.33E-02
23827	3.64E-02
23839	3.94E-02
23851	4.24E-02
23863	4.54E-02
23875	4.86E-02
23887	5.19E-02
23899	5.54E-02
23911	5.93E-02
23923	6.37E-02
23935	6.88E-02
23947	7.46E-02
23959	8.14E-02
23971	8.94E-02
23983	9.87E-02
23995	1.10E-01
24007	1.23E-01
24019	1.38E-01
24031	1.56E-01
24043	1.77E-01
24055	2.02E-01
24067	2.30E-01
24079	2.62E-01
24091	2.98E-01
24103	3.37E-01
24115	3.80E-01
24127	4.24E-01
24139	4.69E-01
24151	5.13E-01
24163	5.55E-01
24175	5.93E-01
24187	6.26E-01
24199	6.54E-01
24211	6.77E-01
24223	6.94E-01
24235	7.06E-01
24248	7.13E-01
24260	7.17E-01
24272	7.19E-01
24284	7.19E-01
24296	7.19E-01
24308	7.18E-01
24320	7.17E-01
24332	7.16E-01
24344	7.16E-01
24356	7.16E-01
24368	7.18E-01
24380	7.19E-01
24392	7.21E-01
24404	7.24E-01
24416	7.27E-01
24428	7.30E-01
24440	7.33E-01
24452	7.36E-01
24464	7.40E-01
24476	7.43E-01
24488	7.45E-01
24500	7.48E-01
24512	7.51E-01
24524	7.53E-01
24536	7.55E-01
24548	7.57E-01
24560	7.59E-01
24572	7.62E-01
24584	7.64E-01
24596	7.66E-01
24608	7.68E-01
24620	7.70E-01
24632	7.73E-01
24644	7.75E-01
24656	7.78E-01
24668	7.80E-01
24680	7.83E-01
24692	7.86E-01
24704	7.89E-01
24716	7.92E-01
24728	7.95E-01
24740	7.97E-01
24752	8.00E-01
24764	8.02E-01
24776	8.04E-01
24788	8.06E-01
24800	8.08E-01
24812	8.09E-01
24824	8.11E-01
24836	8.11E-01
24848	8.12E-01
24860	8.12E-01
24872	8.12E-01
24884	8.12E-01
24896	8.12E-01
24908	8.11E-01
24920	8.10E-01
24932	8.10E-01
24944	8.09E-01
24956	8.08E-01
24968	8.07E-01
24980	8.05E-01
24992	8.04E-01
25004	8.03E-01
25016	8.02E-01
25028	8.01E-01
25040	7.99E-01
25052	7.98E-01
25064	7.97E-01
25076	7.96E-01
25088	7.95E-01
25100	7.94E-01
25112	7.92E-01
25124	7.91E-01
25136	7.90E-01
25148	7.89E-01
25160	7.88E-01
25172	7.87E-01
25184	7.86E-01
25196	7.85E-01
25208	7.84E-01
25220	7.82E-01
25232	7.81E-01
25244	7.80E-01
25256	7.79E-01
25268	7.78E-01
25280	7.77E-01
25292	7.76E-01
25304	7.76E-01
25316	7.75E-01
25328	7.75E-01
25340	7.74E-01
25352	7.74E-01
25364	7.74E-01
25376	7.74E-01
25388	7.74E-01
25400	7.74E-01
25412	7.75E-01
25424	7.76E-01
25436	7.77E-01
