# F356W
# photon
# Angstroems	Transmission JWST/NIRCam/F356W
28862	1.03E-05
28876	1.11E-05
28889	1.11E-05
28903	1.17E-05
28916	1.17E-05
28930	1.14E-05
28943	1.07E-05
28957	1.02E-05
28970	1.04E-05
28984	1.06E-05
28997	1.36E-05
29011	1.53E-05
29024	1.58E-05
29038	1.69E-05
29051	1.88E-05
29065	2.02E-05
29079	2.08E-05
29092	2.11E-05
29106	1.95E-05
29119	1.85E-05
29133	2.02E-05
29146	2.22E-05
29160	2.35E-05
29173	2.43E-05
29187	2.55E-05
29200	2.61E-05
29214	2.68E-05
29227	2.73E-05
29241	2.72E-05
29254	2.74E-05
29268	2.81E-05
29281	2.91E-05
29295	2.91E-05
29308	3.02E-05
29322	3.12E-05
29335	3.16E-05
29349	3.08E-05
29362	2.99E-05
29376	2.90E-05
29389	2.79E-05
29403	2.86E-05
29416	2.95E-05
29430	2.97E-05
29443	2.97E-05
29457	3.02E-05
29470	3.00E-05
29484	2.98E-05
29497	3.10E-05
29511	3.11E-05
29524	3.10E-05
29538	3.08E-05
29551	3.09E-05
29565	3.07E-05
29578	3.07E-05
29592	3.19E-05
29605	3.21E-05
29619	3.24E-05
29633	3.29E-05
29646	3.42E-05
29660	3.53E-05
29673	3.86E-05
29687	4.14E-05
29700	4.23E-05
29714	4.38E-05
29727	4.60E-05
29741	4.76E-05
29754	4.98E-05
29768	5.21E-05
29781	5.38E-05
29795	5.74E-05
29808	6.19E-05
29822	6.56E-05
29835	7.00E-05
29849	7.75E-05
29862	8.45E-05
29876	9.24E-05
29889	1.01E-04
29903	1.09E-04
29916	1.17E-04
29930	1.28E-04
29943	1.38E-04
29957	1.46E-04
29970	1.55E-04
29984	1.67E-04
29997	1.79E-04
30011	1.94E-04
30024	2.09E-04
30038	2.25E-04
30051	2.43E-04
30065	2.63E-04
30078	2.85E-04
30092	3.08E-04
30105	3.32E-04
30119	3.57E-04
30132	3.84E-04
30146	4.13E-04
30159	4.43E-04
30173	4.75E-04
30187	5.08E-04
30200	5.43E-04
30214	5.80E-04
30227	6.19E-04
30241	6.62E-04
30254	7.08E-04
30268	7.56E-04
30281	8.06E-04
30295	8.62E-04
30308	9.21E-04
30322	9.83E-04
30335	1.05E-03
30349	1.12E-03
30362	1.20E-03
30376	1.28E-03
30389	1.37E-03
30403	1.46E-03
30416	1.56E-03
30430	1.67E-03
30443	1.79E-03
30457	1.92E-03
30470	2.05E-03
30484	2.20E-03
30497	2.36E-03
30511	2.53E-03
30524	2.71E-03
30538	2.91E-03
30551	3.13E-03
30565	3.36E-03
30578	3.62E-03
30592	3.89E-03
30605	4.19E-03
30619	4.52E-03
30632	4.87E-03
30646	5.25E-03
30659	5.66E-03
30673	6.11E-03
30686	6.60E-03
30700	7.13E-03
30713	7.70E-03
30727	8.33E-03
30741	9.01E-03
30754	9.75E-03
30768	1.06E-02
30781	1.14E-02
30795	1.24E-02
30808	1.34E-02
30822	1.46E-02
30835	1.58E-02
30849	1.72E-02
30862	1.87E-02
30876	2.03E-02
30889	2.20E-02
30903	2.40E-02
30916	2.61E-02
30930	2.84E-02
30943	3.09E-02
30957	3.36E-02
30970	3.66E-02
30984	3.99E-02
30997	4.35E-02
31011	4.74E-02
31024	5.17E-02
31038	5.64E-02
31051	6.16E-02
31065	6.72E-02
31078	7.33E-02
31092	8.01E-02
31105	8.74E-02
31119	9.54E-02
31132	1.04E-01
31146	1.14E-01
31159	1.24E-01
31173	1.35E-01
31186	1.48E-01
31200	1.61E-01
31213	1.75E-01
31227	1.91E-01
31240	2.08E-01
31254	2.26E-01
31267	2.45E-01
31281	2.65E-01
31295	2.87E-01
31308	3.09E-01
31322	3.33E-01
31335	3.58E-01
31349	3.84E-01
31362	4.11E-01
31376	4.38E-01
31389	4.65E-01
31403	4.93E-01
31416	5.21E-01
31430	5.48E-01
31443	5.75E-01
31457	6.01E-01
31470	6.27E-01
31484	6.51E-01
31497	6.74E-01
31511	6.95E-01
31524	7.15E-01
31538	7.34E-01
31551	7.50E-01
31565	7.66E-01
31578	7.79E-01
31592	7.91E-01
31605	8.02E-01
31619	8.12E-01
31632	8.20E-01
31646	8.27E-01
31659	8.33E-01
31673	8.38E-01
31686	8.42E-01
31700	8.46E-01
31713	8.49E-01
31727	8.52E-01
31740	8.54E-01
31754	8.55E-01
31767	8.57E-01
31781	8.58E-01
31794	8.59E-01
31808	8.60E-01
31822	8.60E-01
31835	8.61E-01
31849	8.61E-01
31862	8.61E-01
31876	8.62E-01
31889	8.62E-01
31903	8.62E-01
31916	8.62E-01
31930	8.63E-01
31943	8.63E-01
31957	8.63E-01
31970	8.63E-01
31984	8.63E-01
31997	8.63E-01
32011	8.63E-01
32024	8.63E-01
32038	8.63E-01
32051	8.63E-01
32065	8.64E-01
32078	8.64E-01
32092	8.64E-01
32105	8.64E-01
32119	8.64E-01
32132	8.64E-01
32146	8.64E-01
32159	8.64E-01
32173	8.64E-01
32186	8.64E-01
32200	8.64E-01
32213	8.64E-01
32227	8.64E-01
32240	8.64E-01
32254	8.64E-01
32267	8.65E-01
32281	8.65E-01
32294	8.65E-01
32308	8.65E-01
32321	8.65E-01
32335	8.66E-01
32348	8.66E-01
32362	8.66E-01
32376	8.67E-01
32389	8.67E-01
32403	8.67E-01
32416	8.68E-01
32430	8.68E-01
32443	8.69E-01
32457	8.69E-01
32470	8.69E-01
32484	8.70E-01
32497	8.70E-01
32511	8.71E-01
32524	8.71E-01
32538	8.72E-01
32551	8.72E-01
32565	8.72E-01
32578	8.73E-01
32592	8.73E-01
32605	8.74E-01
32619	8.74E-01
32632	8.74E-01
32646	8.75E-01
32659	8.75E-01
32673	8.75E-01
32686	8.76E-01
32700	8.76E-01
32713	8.76E-01
32727	8.77E-01
32740	8.77E-01
32754	8.77E-01
32767	8.77E-01
32781	8.78E-01
32794	8.78E-01
32808	8.78E-01
32821	8.79E-01
32835	8.79E-01
32848	8.79E-01
32862	8.80E-01
32875	8.80E-01
32889	8.80E-01
32902	8.81E-01
32916	8.81E-01
32930	8.81E-01
32943	8.82E-01
32957	8.82E-01
32970	8.83E-01
32984	8.83E-01
32997	8.84E-01
33011	8.84E-01
33024	8.85E-01
33038	8.85E-01
33051	8.86E-01
33065	8.86E-01
33078	8.87E-01
33092	8.87E-01
33105	8.88E-01
33119	8.88E-01
33132	8.89E-01
33146	8.90E-01
33159	8.90E-01
33173	8.91E-01
33186	8.91E-01
33200	8.92E-01
33213	8.93E-01
33227	8.93E-01
33240	8.94E-01
33254	8.94E-01
33267	8.95E-01
33281	8.96E-01
33294	8.96E-01
33308	8.97E-01
33321	8.97E-01
33335	8.98E-01
33348	8.98E-01
33362	8.99E-01
33375	9.00E-01
33389	9.00E-01
33402	9.01E-01
33416	9.01E-01
33429	9.01E-01
33443	9.02E-01
33456	9.02E-01
33470	9.03E-01
33484	9.03E-01
33497	9.04E-01
33511	9.04E-01
33524	9.05E-01
33538	9.05E-01
33551	9.06E-01
33565	9.06E-01
33578	9.06E-01
33592	9.07E-01
33605	9.07E-01
33619	9.07E-01
33632	9.08E-01
33646	9.08E-01
33659	9.09E-01
33673	9.09E-01
33686	9.09E-01
33700	9.10E-01
33713	9.10E-01
33727	9.11E-01
33740	9.11E-01
33754	9.12E-01
33767	9.12E-01
33781	9.12E-01
33794	9.13E-01
33808	9.13E-01
33821	9.14E-01
33835	9.14E-01
33848	9.14E-01
33862	9.15E-01
33875	9.15E-01
33889	9.16E-01
33902	9.16E-01
33916	9.17E-01
33929	9.17E-01
33943	9.17E-01
33956	9.18E-01
33970	9.18E-01
33983	9.19E-01
33997	9.19E-01
34010	9.19E-01
34024	9.19E-01
34038	9.20E-01
34051	9.20E-01
34065	9.20E-01
34078	9.20E-01
34092	9.21E-01
34105	9.21E-01
34119	9.21E-01
34132	9.21E-01
34146	9.22E-01
34159	9.22E-01
34173	9.22E-01
34186	9.22E-01
34200	9.22E-01
34213	9.22E-01
34227	9.22E-01
34240	9.23E-01
34254	9.23E-01
34267	9.23E-01
34281	9.23E-01
34294	9.23E-01
34308	9.23E-01
34321	9.23E-01
34335	9.23E-01
34348	9.23E-01
34362	9.23E-01
34375	9.23E-01
34389	9.23E-01
34402	9.23E-01
34416	9.23E-01
34429	9.23E-01
34443	9.23E-01
34456	9.23E-01
34470	9.23E-01
34483	9.24E-01
34497	9.24E-01
34510	9.24E-01
34524	9.24E-01
34537	9.24E-01
34551	9.24E-01
34565	9.24E-01
34578	9.24E-01
34592	9.24E-01
34605	9.24E-01
34619	9.24E-01
34632	9.25E-01
34646	9.25E-01
34659	9.25E-01
34673	9.25E-01
34686	9.25E-01
34700	9.25E-01
34713	9.25E-01
34727	9.25E-01
34740	9.26E-01
34754	9.26E-01
34767	9.26E-01
34781	9.26E-01
34794	9.26E-01
34808	9.26E-01
34821	9.27E-01
34835	9.27E-01
34848	9.27E-01
34862	9.27E-01
34875	9.27E-01
34889	9.27E-01
34902	9.27E-01
34916	9.28E-01
34929	9.28E-01
34943	9.28E-01
34956	9.28E-01
34970	9.28E-01
34983	9.28E-01
34997	9.28E-01
35010	9.28E-01
35024	9.28E-01
35037	9.28E-01
35051	9.28E-01
35064	9.28E-01
35078	9.28E-01
35091	9.28E-01
35105	9.28E-01
35119	9.28E-01
35132	9.28E-01
35146	9.28E-01
35159	9.28E-01
35173	9.28E-01
35186	9.28E-01
35200	9.28E-01
35213	9.28E-01
35227	9.28E-01
35240	9.28E-01
35254	9.28E-01
35267	9.27E-01
35281	9.27E-01
35294	9.27E-01
35308	9.27E-01
35321	9.27E-01
35335	9.27E-01
35348	9.27E-01
35362	9.27E-01
35375	9.27E-01
35389	9.26E-01
35402	9.26E-01
35416	9.26E-01
35429	9.26E-01
35443	9.26E-01
35456	9.26E-01
35470	9.26E-01
35483	9.26E-01
35497	9.26E-01
35510	9.26E-01
35524	9.26E-01
35537	9.26E-01
35551	9.26E-01
35564	9.26E-01
35578	9.26E-01
35591	9.26E-01
35605	9.26E-01
35618	9.26E-01
35632	9.26E-01
35645	9.26E-01
35659	9.26E-01
35673	9.26E-01
35686	9.26E-01
35700	9.26E-01
35713	9.26E-01
35727	9.26E-01
35740	9.26E-01
35754	9.27E-01
35767	9.27E-01
35781	9.27E-01
35794	9.27E-01
35808	9.27E-01
35821	9.27E-01
35835	9.27E-01
35848	9.27E-01
35862	9.27E-01
35875	9.28E-01
35889	9.28E-01
35902	9.28E-01
35916	9.28E-01
35929	9.28E-01
35943	9.28E-01
35956	9.28E-01
35970	9.28E-01
35983	9.28E-01
35997	9.29E-01
36010	9.29E-01
36024	9.29E-01
36037	9.29E-01
36051	9.29E-01
36064	9.29E-01
36078	9.29E-01
36091	9.29E-01
36105	9.29E-01
36118	9.29E-01
36132	9.30E-01
36145	9.30E-01
36159	9.30E-01
36172	9.30E-01
36186	9.30E-01
36199	9.30E-01
36213	9.30E-01
36227	9.30E-01
36240	9.30E-01
36254	9.31E-01
36267	9.31E-01
36281	9.31E-01
36294	9.31E-01
36308	9.31E-01
36321	9.31E-01
36335	9.31E-01
36348	9.31E-01
36362	9.31E-01
36375	9.31E-01
36389	9.32E-01
36402	9.32E-01
36416	9.32E-01
36429	9.32E-01
36443	9.32E-01
36456	9.32E-01
36470	9.32E-01
36483	9.32E-01
36497	9.33E-01
36510	9.33E-01
36524	9.33E-01
36537	9.33E-01
36551	9.33E-01
36564	9.33E-01
36578	9.33E-01
36591	9.33E-01
36605	9.33E-01
36618	9.34E-01
36632	9.34E-01
36645	9.34E-01
36659	9.34E-01
36672	9.34E-01
36686	9.34E-01
36699	9.34E-01
36713	9.34E-01
36726	9.34E-01
36740	9.34E-01
36753	9.34E-01
36767	9.34E-01
36781	9.35E-01
36794	9.35E-01
36808	9.35E-01
36821	9.35E-01
36835	9.35E-01
36848	9.35E-01
36862	9.35E-01
36875	9.35E-01
36889	9.35E-01
36902	9.35E-01
36916	9.35E-01
36929	9.35E-01
36943	9.35E-01
36956	9.35E-01
36970	9.35E-01
36983	9.35E-01
36997	9.35E-01
37010	9.35E-01
37024	9.35E-01
37037	9.35E-01
37051	9.35E-01
37064	9.35E-01
37078	9.35E-01
37091	9.35E-01
37105	9.35E-01
37118	9.35E-01
37132	9.35E-01
37145	9.35E-01
37159	9.36E-01
37172	9.36E-01
37186	9.36E-01
37199	9.36E-01
37213	9.36E-01
37226	9.36E-01
37240	9.36E-01
37253	9.36E-01
37267	9.36E-01
37280	9.36E-01
37294	9.36E-01
37308	9.36E-01
37321	9.36E-01
37335	9.36E-01
37348	9.36E-01
37362	9.36E-01
37375	9.36E-01
37389	9.36E-01
37402	9.36E-01
37416	9.36E-01
37429	9.36E-01
37443	9.36E-01
37456	9.36E-01
37470	9.36E-01
37483	9.36E-01
37497	9.36E-01
37510	9.36E-01
37524	9.36E-01
37537	9.36E-01
37551	9.36E-01
37564	9.36E-01
37578	9.36E-01
37591	9.36E-01
37605	9.35E-01
37618	9.35E-01
37632	9.35E-01
37645	9.35E-01
37659	9.34E-01
37672	9.34E-01
37686	9.34E-01
37699	9.34E-01
37713	9.33E-01
37726	9.33E-01
37740	9.33E-01
37753	9.33E-01
37767	9.32E-01
37780	9.32E-01
37794	9.31E-01
37807	9.31E-01
37821	9.31E-01
37834	9.30E-01
37848	9.30E-01
37862	9.30E-01
37875	9.29E-01
37889	9.29E-01
37902	9.29E-01
37916	9.28E-01
37929	9.28E-01
37943	9.28E-01
37956	9.27E-01
37970	9.27E-01
37983	9.27E-01
37997	9.26E-01
38010	9.26E-01
38024	9.26E-01
38037	9.26E-01
38051	9.26E-01
38064	9.25E-01
38078	9.25E-01
38091	9.25E-01
38105	9.25E-01
38118	9.25E-01
38132	9.25E-01
38145	9.25E-01
38159	9.25E-01
38172	9.25E-01
38186	9.25E-01
38199	9.25E-01
38213	9.25E-01
38226	9.26E-01
38240	9.26E-01
38253	9.26E-01
38267	9.26E-01
38280	9.26E-01
38294	9.26E-01
38307	9.27E-01
38321	9.27E-01
38334	9.27E-01
38348	9.27E-01
38361	9.27E-01
38375	9.28E-01
38388	9.28E-01
38402	9.28E-01
38416	9.28E-01
38429	9.28E-01
38443	9.28E-01
38456	9.29E-01
38470	9.29E-01
38483	9.29E-01
38497	9.29E-01
38510	9.29E-01
38524	9.28E-01
38537	9.28E-01
38551	9.28E-01
38564	9.28E-01
38578	9.28E-01
38591	9.27E-01
38605	9.27E-01
38618	9.26E-01
38632	9.26E-01
38645	9.25E-01
38659	9.24E-01
38672	9.23E-01
38686	9.23E-01
38699	9.22E-01
38713	9.21E-01
38726	9.20E-01
38740	9.19E-01
38753	9.17E-01
38767	9.16E-01
38780	9.15E-01
38794	9.13E-01
38807	9.12E-01
38821	9.11E-01
38834	9.09E-01
38848	9.08E-01
38861	9.06E-01
38875	9.04E-01
38888	9.03E-01
38902	9.01E-01
38915	8.99E-01
38929	8.98E-01
38942	8.96E-01
38956	8.94E-01
38970	8.92E-01
38983	8.90E-01
38997	8.89E-01
39010	8.87E-01
39024	8.85E-01
39037	8.83E-01
39051	8.81E-01
39064	8.79E-01
39078	8.77E-01
39091	8.75E-01
39105	8.73E-01
39118	8.71E-01
39132	8.69E-01
39145	8.67E-01
39159	8.65E-01
39172	8.62E-01
39186	8.60E-01
39199	8.57E-01
39213	8.55E-01
39226	8.52E-01
39240	8.49E-01
39253	8.46E-01
39267	8.42E-01
39280	8.39E-01
39294	8.34E-01
39307	8.30E-01
39321	8.25E-01
39334	8.20E-01
39348	8.15E-01
39361	8.09E-01
39375	8.03E-01
39388	7.96E-01
39402	7.89E-01
39415	7.81E-01
39429	7.72E-01
39442	7.63E-01
39456	7.53E-01
39469	7.43E-01
39483	7.32E-01
39496	7.21E-01
39510	7.09E-01
39524	6.96E-01
39537	6.82E-01
39551	6.68E-01
39564	6.54E-01
39578	6.39E-01
39591	6.23E-01
39605	6.07E-01
39618	5.91E-01
39632	5.74E-01
39645	5.57E-01
39659	5.40E-01
39672	5.22E-01
39686	5.05E-01
39699	4.87E-01
39713	4.70E-01
39726	4.52E-01
