# F150W
# photon
# Angstroems	Transmission JWST/NIRCam/F150W
15640	9.45E-01
15650	9.45E-01
15660	9.45E-01
15670	9.44E-01
15680	9.45E-01
15690	9.45E-01
15700	9.46E-01
15710	9.48E-01
15720	9.50E-01
15730	9.53E-01
15740	9.54E-01
15750	9.54E-01
15760	9.55E-01
15770	9.57E-01
15780	9.59E-01
15790	9.61E-01
15800	9.64E-01
15810	9.66E-01
15820	9.68E-01
15830	9.70E-01
15840	9.73E-01
15850	9.76E-01
15860	9.75E-01
15870	9.77E-01
15880	9.77E-01
15890	9.80E-01
15900	9.81E-01
15910	9.83E-01
15920	9.83E-01
15930	9.84E-01
15940	9.84E-01
15950	9.83E-01
15960	9.84E-01
15970	9.84E-01
15980	9.85E-01
15990	9.83E-01
16000	9.83E-01
16010	9.82E-01
16020	9.83E-01
16030	9.81E-01
16040	9.82E-01
16050	9.84E-01
16060	9.85E-01
16070	9.82E-01
16080	9.81E-01
16090	9.82E-01
16100	9.83E-01
16110	9.83E-01
16120	9.82E-01
16130	9.82E-01
16140	9.83E-01
16150	9.84E-01
16160	9.84E-01
16170	9.85E-01
16180	9.83E-01
16190	9.82E-01
16200	9.79E-01
16210	9.81E-01
16220	9.79E-01
16230	9.80E-01
16240	9.79E-01
16250	9.79E-01
16260	9.78E-01
16270	9.79E-01
16280	9.78E-01
16290	9.78E-01
16300	9.76E-01
16310	9.76E-01
16320	9.77E-01
16330	9.77E-01
16340	9.77E-01
16350	9.77E-01
16360	9.77E-01
16370	9.77E-01
16380	9.76E-01
16390	9.76E-01
16400	9.76E-01
16410	9.76E-01
16420	9.74E-01
16430	9.74E-01
16440	9.71E-01
16450	9.72E-01
16460	9.71E-01
16470	9.73E-01
16480	9.71E-01
16490	9.72E-01
16500	9.72E-01
16510	9.73E-01
16520	9.75E-01
16530	9.78E-01
16540	9.79E-01
16550	9.78E-01
16560	9.76E-01
16570	9.72E-01
16580	9.67E-01
16590	9.55E-01
16600	9.40E-01
16610	9.16E-01
16620	8.88E-01
16630	8.47E-01
16640	8.01E-01
16650	7.47E-01
16660	6.91E-01
16670	6.32E-01
16680	5.71E-01
16690	5.09E-01
16700	4.48E-01
16710	3.91E-01
16720	3.39E-01
16730	2.91E-01
16740	2.49E-01
16750	2.14E-01
16760	1.85E-01
16770	1.61E-01
16780	1.41E-01
16790	1.23E-01
16800	1.08E-01
16810	9.50E-02
16820	8.37E-02
16830	7.45E-02
16840	6.61E-02
16850	5.86E-02
16860	5.10E-02
16870	4.37E-02
16880	3.70E-02
16890	3.11E-02
16900	2.62E-02
16910	2.21E-02
16920	1.86E-02
16930	1.56E-02
16940	1.32E-02
16950	1.11E-02
16960	9.39E-03
16970	7.95E-03
16980	6.76E-03
16990	5.76E-03
17000	4.93E-03
17010	4.23E-03
17020	3.63E-03
17030	3.13E-03
17040	2.71E-03
17050	2.35E-03
17060	2.04E-03
17070	1.78E-03
17080	1.56E-03
17090	1.37E-03
17100	1.20E-03
17110	1.05E-03
17120	9.30E-04
17130	8.21E-04
17140	7.29E-04
17150	6.48E-04
17160	5.78E-04
17170	5.16E-04
17180	4.62E-04
17190	4.14E-04
17200	3.73E-04
17210	3.36E-04
17220	3.03E-04
17230	2.74E-04
17240	2.48E-04
17250	2.26E-04
17260	2.05E-04
17270	1.87E-04
17280	1.70E-04
17290	1.55E-04
17300	1.42E-04
17310	1.30E-04
17320	1.20E-04
17330	1.09E-04
17340	1.01E-04
17350	9.18E-05
17360	8.48E-05
17370	7.88E-05
17380	7.35E-05
17390	6.87E-05
17400	6.35E-05
17410	5.84E-05
17420	5.41E-05
17430	5.05E-05
17440	4.66E-05
17450	4.34E-05
17460	4.01E-05
17470	3.77E-05
17480	3.57E-05
17490	3.42E-05
17500	3.21E-05
17510	3.01E-05
17520	2.81E-05
17530	2.65E-05
17540	2.49E-05
17550	2.34E-05
17560	2.24E-05
17570	2.23E-05
17580	2.19E-05
17590	1.99E-05
17600	1.89E-05
17610	1.70E-05
17620	1.66E-05
17630	1.57E-05
17640	1.62E-05
17650	1.67E-05
17660	1.55E-05
17670	1.45E-05
