# F200W
# photon
# Angstroems	Transmission JWST/NIRCam/F200W
16130	1.03E-05
16140	9.75E-06
16150	9.83E-06
16160	9.65E-06
16170	1.04E-05
16180	1.13E-05
16190	1.15E-05
16200	1.07E-05
16210	9.82E-06
16220	1.01E-05
16230	1.07E-05
16240	1.07E-05
16250	1.07E-05
16260	1.10E-05
16270	1.12E-05
16280	1.14E-05
16290	1.09E-05
16300	1.11E-05
16310	1.16E-05
16320	1.19E-05
16330	1.22E-05
16340	1.25E-05
16350	1.20E-05
16360	1.21E-05
16370	1.20E-05
16380	1.31E-05
16390	1.34E-05
16400	1.32E-05
16410	1.41E-05
16420	1.46E-05
16430	1.56E-05
16440	1.62E-05
16450	1.70E-05
16460	1.79E-05
16470	1.76E-05
16480	1.86E-05
16490	1.90E-05
16500	1.94E-05
16510	1.90E-05
16520	1.88E-05
16530	2.00E-05
16540	2.07E-05
16550	2.17E-05
16560	2.18E-05
16570	2.34E-05
16580	2.49E-05
16590	2.61E-05
16600	2.71E-05
16610	2.81E-05
16620	3.03E-05
16630	3.26E-05
16640	3.52E-05
16650	3.76E-05
16660	3.94E-05
16670	4.15E-05
16680	4.48E-05
16690	4.78E-05
16700	5.15E-05
16710	5.46E-05
16720	5.93E-05
16730	6.32E-05
16740	6.85E-05
16750	7.39E-05
16760	7.96E-05
16770	8.53E-05
16780	9.14E-05
16790	9.83E-05
16800	1.05E-04
16810	1.14E-04
16820	1.23E-04
16830	1.33E-04
16840	1.43E-04
16850	1.54E-04
16860	1.66E-04
16870	1.80E-04
16880	1.94E-04
16890	2.09E-04
16900	2.26E-04
16910	2.46E-04
16920	2.70E-04
16930	2.96E-04
16940	3.26E-04
16950	3.59E-04
16960	3.96E-04
16970	4.39E-04
16980	4.88E-04
16990	5.44E-04
17000	6.09E-04
17010	6.83E-04
17020	7.69E-04
17030	8.67E-04
17040	9.79E-04
17050	1.11E-03
17060	1.25E-03
17070	1.41E-03
17080	1.60E-03
17090	1.81E-03
17100	2.05E-03
17110	2.32E-03
17120	2.62E-03
17130	2.96E-03
17140	3.35E-03
17150	3.78E-03
17160	4.28E-03
17170	4.84E-03
17180	5.48E-03
17190	6.21E-03
17200	7.04E-03
17210	8.01E-03
17220	9.13E-03
17230	1.05E-02
17240	1.20E-02
17250	1.38E-02
17260	1.59E-02
17270	1.85E-02
17280	2.16E-02
17290	2.52E-02
17300	2.96E-02
17310	3.47E-02
17320	4.09E-02
17330	4.76E-02
17340	5.45E-02
17350	6.05E-02
17360	6.64E-02
17370	7.22E-02
17380	7.91E-02
17390	8.66E-02
17400	9.58E-02
17410	1.07E-01
17420	1.19E-01
17430	1.34E-01
17440	1.49E-01
17450	1.67E-01
17460	1.88E-01
17470	2.13E-01
17480	2.43E-01
17490	2.78E-01
17500	3.17E-01
17510	3.61E-01
17520	4.06E-01
17530	4.53E-01
17540	5.00E-01
17550	5.47E-01
17560	5.91E-01
17570	6.32E-01
17580	6.68E-01
17590	7.00E-01
17600	7.28E-01
17610	7.54E-01
17620	7.79E-01
17630	8.02E-01
17640	8.25E-01
17650	8.47E-01
17660	8.68E-01
17670	8.86E-01
17680	9.04E-01
17690	9.20E-01
17700	9.36E-01
17710	9.49E-01
17720	9.61E-01
17730	9.69E-01
17740	9.75E-01
17750	9.79E-01
17760	9.82E-01
17770	9.84E-01
17780	9.84E-01
17790	9.85E-01
17800	9.85E-01
17810	9.86E-01
17820	9.84E-01
17830	9.84E-01
17840	9.84E-01
17850	9.84E-01
17860	9.83E-01
17870	9.84E-01
17880	9.86E-01
17890	9.87E-01
17900	9.88E-01
17910	9.87E-01
17920	9.87E-01
17930	9.85E-01
17940	9.83E-01
17950	9.82E-01
17960	9.79E-01
17970	9.76E-01
17980	9.73E-01
17990	9.70E-01
18000	9.66E-01
18010	9.64E-01
18020	9.62E-01
18030	9.59E-01
18040	9.55E-01
18050	9.52E-01
18060	9.50E-01
18070	9.50E-01
18080	9.49E-01
18090	9.48E-01
18100	9.46E-01
18110	9.46E-01
18120	9.48E-01
18130	9.49E-01
18140	9.50E-01
18150	9.51E-01
18160	9.53E-01
18170	9.55E-01
18180	9.58E-01
18190	9.59E-01
18200	9.60E-01
18210	9.62E-01
18220	9.65E-01
18230	9.66E-01
18240	9.68E-01
18250	9.71E-01
18260	9.74E-01
18270	9.75E-01
18280	9.75E-01
18290	9.77E-01
18300	9.78E-01
18310	9.80E-01
18320	9.82E-01
18330	9.82E-01
18340	9.82E-01
18350	9.81E-01
18360	9.83E-01
18370	9.84E-01
18380	9.84E-01
18390	9.84E-01
18400	9.84E-01
18410	9.83E-01
18420	9.82E-01
18430	9.83E-01
18440	9.82E-01
18450	9.81E-01
18460	9.79E-01
18470	9.78E-01
18480	9.77E-01
18490	9.75E-01
18500	9.74E-01
18510	9.73E-01
18520	9.72E-01
18530	9.71E-01
18540	9.69E-01
18550	9.67E-01
18560	9.66E-01
18570	9.67E-01
18580	9.66E-01
18590	9.64E-01
18600	9.63E-01
18610	9.62E-01
18620	9.60E-01
18630	9.58E-01
18640	9.58E-01
18650	9.59E-01
18660	9.59E-01
18670	9.59E-01
18680	9.60E-01
18690	9.62E-01
18700	9.63E-01
18710	9.66E-01
18720	9.68E-01
18730	9.70E-01
18740	9.72E-01
18750	9.73E-01
18760	9.75E-01
18770	9.74E-01
18780	9.75E-01
18790	9.76E-01
18800	9.78E-01
18810	9.80E-01
18820	9.80E-01
18830	9.82E-01
18840	9.82E-01
18850	9.83E-01
18860	9.85E-01
18870	9.86E-01
18880	9.87E-01
18890	9.88E-01
18900	9.88E-01
18910	9.87E-01
18920	9.86E-01
18930	9.86E-01
18940	9.87E-01
18950	9.88E-01
18960	9.89E-01
18970	9.90E-01
18980	9.90E-01
18990	9.91E-01
19000	9.91E-01
19010	9.92E-01
19020	9.92E-01
19030	9.94E-01
19040	9.93E-01
19050	9.94E-01
19060	9.93E-01
19070	9.94E-01
19080	9.95E-01
19090	9.94E-01
19100	9.93E-01
19110	9.93E-01
19120	9.95E-01
19130	9.96E-01
19140	9.97E-01
19150	9.96E-01
19160	9.94E-01
19170	9.95E-01
19180	9.95E-01
19190	9.95E-01
19200	9.93E-01
19210	9.93E-01
19220	9.93E-01
19230	9.91E-01
19240	9.90E-01
19250	9.89E-01
19260	9.88E-01
19270	9.86E-01
19280	9.86E-01
19290	9.85E-01
19300	9.84E-01
19310	9.83E-01
19320	9.83E-01
19330	9.82E-01
19340	9.81E-01
19350	9.80E-01
19360	9.79E-01
19370	9.78E-01
19380	9.77E-01
19390	9.76E-01
19400	9.76E-01
19410	9.75E-01
19420	9.75E-01
19430	9.76E-01
19440	9.77E-01
19450	9.78E-01
19460	9.78E-01
19470	9.79E-01
19480	9.80E-01
19490	9.80E-01
19500	9.80E-01
19510	9.81E-01
19520	9.82E-01
19530	9.83E-01
19540	9.83E-01
19550	9.83E-01
19560	9.84E-01
19570	9.85E-01
19580	9.85E-01
19590	9.84E-01
19600	9.85E-01
19610	9.84E-01
19620	9.86E-01
19630	9.84E-01
19640	9.85E-01
19650	9.84E-01
19660	9.83E-01
19670	9.82E-01
19680	9.82E-01
19690	9.82E-01
19700	9.81E-01
19710	9.81E-01
19720	9.82E-01
19730	9.81E-01
19740	9.79E-01
19750	9.79E-01
19760	9.80E-01
19770	9.81E-01
19780	9.81E-01
19790	9.81E-01
19800	9.81E-01
19810	9.82E-01
19820	9.82E-01
19830	9.82E-01
19840	9.82E-01
19850	9.82E-01
19860	9.82E-01
19870	9.84E-01
19880	9.85E-01
19890	9.87E-01
19900	9.86E-01
19910	9.87E-01
19920	9.88E-01
19930	9.88E-01
19940	9.88E-01
19950	9.88E-01
19960	9.87E-01
19970	9.88E-01
19980	9.88E-01
19990	9.88E-01
20000	9.87E-01
20010	9.86E-01
20020	9.87E-01
20030	9.90E-01
20040	9.89E-01
20050	9.88E-01
20060	9.87E-01
20070	9.86E-01
20080	9.85E-01
20090	9.85E-01
20100	9.86E-01
20110	9.86E-01
20120	9.85E-01
20130	9.85E-01
20140	9.87E-01
20150	9.88E-01
20160	9.88E-01
20170	9.89E-01
20180	9.91E-01
20190	9.89E-01
20200	9.89E-01
20210	9.87E-01
20220	9.89E-01
20230	9.91E-01
20240	9.93E-01
20250	9.96E-01
