Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
1.1884924949847024 8.984379459187754e-25 2.8343531639969605e-17 2.8343518489782795e-17 1.315018678965912e-23
1.2064549276569216 9.184090631845189e-25 2.941146757483262e-17 2.9411449671772305e-17 1.7903060311966102e-23
1.2246888378427687 9.381503981642948e-25 3.049774015507121e-17 3.0497715900084673e-17 2.425498653389184e-23
1.2431983285522175 9.576285634155643e-25 3.1601445035638237e-17 3.160141233349986e-17 3.2702138364133e-23
1.2619875648066055 9.7685165853454e-25 3.2723001088055405e-17 3.272295720682426e-17 4.388123115338654e-23
1.3004222497298317 1.014302797998917e-24 3.501236506190693e-17 3.501228715858271e-17 7.790332421272111e-23
1.3400274889804893 1.0504778665964674e-24 3.736543536594623e-17 3.736529958595742e-17 1.3577998881584222e-22
1.3808389325824078 1.0853758310838311e-24 3.978254869571644e-17 3.978231625077861e-17 2.324449378369983e-22
1.4228933163050095 1.1192383806446852e-24 4.227312627267441e-17 4.227273523129392e-17 3.9104138049324035e-22
1.466228494730424 1.1527761588984671e-24 4.4865868018192776e-17 4.486522123309415e-17 6.467850986195754e-22
1.5108834753276823 1.1856861363580297e-24 4.755214874765475e-17 4.755109648833519e-17 1.052259319565004e-21
1.5568984535646726 1.2177481781298733e-24 5.0325396911655426e-17 5.032371126912193e-17 1.6856425335090768e-21
1.6043148490894465 1.2491396366228402e-24 5.3194903516134986e-17 5.3192239780819273e-17 2.6637353157383902e-21
1.6531753430134553 1.2800637561338513e-24 5.617200855647133e-17 5.616786098791341e-17 4.147568557930918e-21
1.7035239163302658 1.310828836207692e-24 5.927392070406814e-17 5.926755603409318e-17 6.3646699749469176e-21
1.755405889504358 1.3425276934147894e-24 6.255618238382535e-17 6.254655174774385e-17 9.630636081516057e-21
1.8088679632656115 1.3750924805272037e-24 6.602496920666591e-17 6.601059498578975e-17 1.4374220876180088e-20
1.8639582606462262 1.408503401989002e-24 6.968888505841269e-17 6.966771431927775e-17 2.1170739134979223e-20
1.9207263702978936 1.4430155936835133e-24 7.357088093258125e-17 7.354010059747334e-17 3.07803351079296e-20
1.979223391128241 1.4790325439295297e-24 7.770374993947199e-17 7.765955593299872e-17 4.419400647325136e-20
2.039501978296691 1.516986355641081e-24 8.212497276763555e-17 8.206228821885522e-17 6.268454878033876e-20
2.1016163906111602 1.557911190603211e-24 8.690916489311134e-17 8.682129430740809e-17 8.787058570322939e-20
2.1656225393682647 1.6024417258136924e-24 9.211586632246058e-17 9.199409041788008e-17 1.2177590458049288e-19
2.231578038680979 1.6506640564845834e-24 9.777778761264597e-17 9.761089055959026e-17 1.66897053055705e-19
2.299542257339062 1.702964429860947e-24 1.0394806388756278e-16 1.037217882768975e-16 2.262756106652992e-19
2.369576372248914 1.7600607622053337e-24 1.1070514494893153e-16 1.104015682079528e-16 3.035767409786873e-19
2.4417434235010123 1.8227800274027394e-24 1.1814183741949617e-16 1.1773868330422166e-16 4.0315411527453344e-19
2.5161083711144245 1.8925001671009755e-24 1.263963992974889e-16 1.2586626590711376e-16 5.301333903751316e-19
2.5927381535095444 1.9713950082898467e-24 1.35675597927429e-16 1.3498512539511005e-16 6.904725323190415e-19
2.6717017477616296 2.0618367410885413e-24 1.462216505528004e-16 1.4533067505994242e-16 8.909754928580061e-19
2.753070231689431 2.1672956475719166e-24 1.5838165704724457e-16 1.5724232964089572e-16 1.1393274063488427e-18
2.836916847834745 2.2957703750707277e-24 1.7287989373488383e-16 1.7143573768361458e-16 1.4441560512691887e-18
2.9233170693905177 2.4646723595153295e-24 1.9125136793000086e-16 1.8943667934581282e-16 1.8146885841880365e-18
2.967498994190263 2.5811897632687755e-24 2.033199281451391e-16 2.0129582069347586e-16 2.0241074516632873e-18
3.0123486681368425 2.71110679857105e-24 2.1678104102660643e-16 2.1452634844002302e-16 2.254692586583476e-18
3.0578761833420214 2.9512764901915835e-24 2.395516837200271e-16 2.370427547400853e-16 2.5089289799417704e-18
3.1040917844459814 3.2469061804290127e-24 2.6753076244179995e-16 2.6474433544621675e-16 2.7864269955831913e-18
3.127460860933648 3.536188479168993e-24 2.9355989338531873e-16 2.9062455696204804e-16 2.9353364232707237e-18
3.1510058709225794 3.9128618484758295e-24 3.2727524746711065e-16 3.241844520774553e-16 3.090795389655408e-18
3.162844764501044 4.2559030146104734e-24 3.573049496414071e-16 3.5413361075429656e-16 3.171338887110611e-18
3.1747281389236908 4.650689849593408e-24 3.91916323250936e-16 3.886627378695361e-16 3.25358538140015e-18
3.1986289994194426 5.7379444994216794e-24 4.871802192995525e-16 4.8375651366594e-16 3.4237056336123203e-18
3.2227097969389145 8.272207537720554e-24 7.076394789990594e-16 7.040352551413864e-16 3.6042238576730424e-18
3.2348180950136065 1.0662852199149683e-23 9.15572387082814e-16 9.118717636056263e-16 3.700623477187447e-18
3.240889293275058 1.2448422351529431e-23 1.0708975963871203e-15 1.0671461233448571e-15 3.751473042263472e-18
3.2469718861334385 1.4514977089781118e-23 1.2510201821912273e-15 1.2472160932826949e-15 3.8040889085325984e-18
3.2714166318528037 2.5481627631917353e-23 2.2127505396560983e-15 2.208728807303124e-15 4.021732352974377e-18
3.2744851364798273 2.6168644699090768e-23 2.274540567803015e-15 2.270493127739495e-15 4.047440063518335e-18
3.2775565192852394 2.6874965452417557e-23 2.3381239862205898e-15 2.334050704435226e-15 4.0732817853632876e-18
3.283707930232385 2.620354214380052e-23 2.283988733136756e-15 2.279869118759275e-15 4.119614377481468e-18
3.2898708863219004 2.406124779486923e-23 2.1011953585983476e-15 2.097033468952791e-15 4.161889645556748e-18
3.29141343181113 2.35557206617309e-23 2.0580137199360173e-15 2.05384121184119e-15 4.172508094826926e-18
3.292184975758714 2.330727464437558e-23 2.03678484762766e-15 2.0326070228513352e-15 4.177824776325194e-18
3.295272960557952 2.1743521619713466e-23 1.901913286519215e-15 1.897714760122335e-15 4.198526396879807e-18
3.3076538914384823 1.6313643687509537e-23 1.4323213476158832e-15 1.428039616903621e-15 4.281730712262232e-18
3.310756385682612 1.520509845259925e-23 1.3362443901659678e-15 1.3319416754028494e-15 4.30271476311818e-18
3.313861789986515 1.4180960694958518e-23 1.2474107368875804e-15 1.2430869646830128e-15 4.323772204567543e-18
3.3200813396944477 1.2747700338715412e-23 1.123440310116708e-15 1.1190712961685038e-15 4.369013948204215e-18
3.345076488085796 1.0216274855352675e-23 9.071269179386128e-16 9.025564178518044e-16 4.5705000868085694e-18
3.3482140837626964 1.0316370312424e-23 9.168738256279062e-16 9.12276036086774e-16 4.59778954113228e-18
3.3513546224236106 1.0417502406632831e-23 9.26730438115404e-16 9.221052299506114e-16 4.625208164793102e-18
3.3576445397418455 1.1136338316686154e-23 9.925366822262246e-16 9.878541675656448e-16 4.682514660580236e-18
3.3702598118196083 1.3766293013094614e-23 1.2315436916512947e-15 1.2267409614802022e-15 4.802730171092696e-18
3.382922481734668 1.4381738911911414e-23 1.2914359729770055e-15 1.2865161719041441e-15 4.919801072861553e-18
3.389271646505754 1.470004363338721e-23 1.32249620773064e-15 1.3175170233604e-15 4.979184370240398e-18
3.395632727569191 1.5045108801740965e-23 1.3560805173225095e-15 1.3510401332639423e-15 5.040384058566697e-18
3.421196662673239 1.670505731352483e-23 1.5170344484794392e-15 1.5117404755034557e-15 5.2939729759836226e-18
3.4276182099114902 1.6390967109351173e-23 1.4913049291366232e-15 1.4859541193241622e-15 5.350809812460853e-18
3.4340518103208963 1.4981785070231767e-23 1.3656513506840153e-15 1.3602466645345423e-15 5.404686149472806e-18
3.4469541582030403 1.2972193024046456e-23 1.1869115143500894e-15 1.1814031776510914e-15 5.508336698998068e-18
3.472904465399547 1.2427165282773644e-23 1.1456035328354953e-15 1.1398567760341573e-15 5.746756801338284e-18
3.4990501388274233 1.1586265806552603e-23 1.0761259057276066e-15 1.070134613224256e-15 5.991292503350591e-18
3.5253949054701885 8.546132720195717e-24 7.997363545396621e-16 7.935066113974616e-16 6.2297431422003655e-18
3.5519380250092896 5.675860715531311e-24 5.351389251079711e-16 5.286687974637325e-16 6.470127644238351e-18
3.578680990867387 4.5543483712327225e-24 4.326320277269727e-16 4.258983121676057e-16 6.733715559367061e-18
3.605625307711299 4.118913045657962e-24 3.9421455048887714e-16 3.872027820702021e-16 7.01176841867501e-18
3.660119384959845 3.839504602196049e-24 3.7302666445943837e-16 3.654287538483246e-16 7.59791061111382e-18
3.715437065384467 3.656831482947531e-24 3.6064863240655677e-16 3.5242992565713026e-16 8.218706749426506e-18
3.8285932144167436 3.6543157718772975e-24 3.7137676655173804e-16 3.618136757728927e-16 9.563090778845419e-18
3.94519561050918 3.752895032730054e-24 3.930107156436926e-16 3.819662220621055e-16 1.1044493581587088e-17
4.06534921144712 3.894378554697873e-24 4.2024780647294937e-16 4.075827164481996e-16 1.2665090024749972e-17
4.189162171576248 4.06158776777689e-24 4.51640051923625e-16 4.3720824690660135e-16 1.4431805017023652e-17
4.316745939156006 4.2477221466268305e-24 4.86723172303869e-16 4.703805132641358e-16 1.6342659039733422e-17
4.448215356677963 4.450048473141947e-24 5.254361873430723e-16 5.070596338951973e-16 1.837655344787499e-17
4.58368876423945 4.668403822295138e-24 5.680060611676309e-16 5.474657928997691e-16 2.0540268267861454e-17
4.723288106065518 4.9044471810725124e-24 6.148992053313246e-16 5.920477288868015e-16 2.2851476444522783e-17
4.867139040275056 5.161239390609139e-24 6.668024535484672e-16 6.415443423910421e-16 2.5258111157424865e-17
4.940699165968905 5.3025737353152305e-24 6.954158106052994e-16 6.6891034587669425e-16 2.650546472860504e-17
5.015371051989984 5.445951294813785e-24 7.250137697594145e-16 6.972344591418274e-16 2.777931061758721e-17
5.091171501069577 5.6069597280786844e-24 7.577301999653334e-16 7.286244845886982e-16 2.9105715376635064e-17
5.129500256944802 5.688327696654998e-24 7.745136862881875e-16 7.447355021249165e-16 2.977818416327108e-17
5.168117569889187 5.7716324114527366e-24 7.917726237232481e-16 7.613100326503058e-16 3.046259107294206e-17
5.20702561229733 5.867389685511812e-24 8.109686764797455e-16 7.797631328307087e-16 3.1205543649036713e-17
5.246226572918644 5.9643662429679745e-24 8.30578680726545e-16 7.986218136501647e-16 3.195686707638023e-17
5.265937586045735 6.0133216388229784e-24 8.405423005089127e-16 8.082066879411089e-16 3.2335612567803864e-17
5.285722656980489 6.062593966349957e-24 8.506135328889857e-16 8.17897149234395e-16 3.27163836545907e-17
5.305582063971359 6.112187525945568e-24 8.607938185621221e-16 8.276946613876132e-16 3.3099157174508825e-17
5.3255160863122235 6.164353203351951e-24 8.714021933754586e-16 8.379155966865947e-16 3.348659668886368e-17
5.365609099470188 6.287350617878834e-24 8.954805196549053e-16 8.611922625823524e-16 3.4288257072553066e-17
5.406003951863644 6.413156141968215e-24 9.202749608551721e-16 8.851760961024186e-16 3.5098864752753385e-17
5.446702915881641 6.5419009245832785e-24 9.45816929726637e-16 9.09898686492114e-16 3.591824323452278e-17
5.487708281020852 6.678100453739645e-24 9.727772321988903e-16 9.360278919128105e-16 3.674934028608008e-17
5.529022354014368 6.857076765253639e-24 1.006367933864902e-15 9.687515045920054e-16 3.7616429272896356e-17
5.570647458961463 7.043497397851421e-24 1.0415100531994836e-15 1.0030168404367517e-15 3.8493212762731664e-17
5.612585937458331 7.237894222570817e-24 1.078312572118893e-15 1.0389330535530656e-15 3.937951856582697e-17
5.654840148729818 7.447628917986266e-24 1.1179124565600866e-15 1.077633366892064e-15 4.027908966802262e-17
5.67608639626678 7.586285057050518e-24 1.1430035723657266e-15 1.1022541523327938e-15 4.0749420032933213e-17
5.686739436050992 7.657302059144434e-24 1.1558688015667194e-15 1.114883200305466e-15 4.0985601261253056e-17
5.6974124697621304 7.729480608178465e-24 1.1689539606504052e-15 1.1277315041406696e-15 4.122245650973557e-17
5.718818669136295 7.877433249340788e-24 1.1958053472587514e-15 1.154107168359855e-15 4.1698178898895875e-17
5.740305295436557 8.038924687096771e-24 1.224904933370592e-15 1.1827251021881093e-15 4.2179831182483153e-17
5.7835210386641895 8.450631473395021e-24 1.297331358001736e-15 1.2541547165298003e-15 4.317664147193557e-17
5.827062130521658 8.91713374711357e-24 1.3792543502309636e-15 1.3350611083364377e-15 4.419324189452568e-17
5.8489554468988025 9.24101512537844e-24 1.4347209083280018e-15 1.3899801116277355e-15 4.474079670026617e-17
5.870931020387893 9.585566926132157e-24 1.4938060518016747e-15 1.4485138973761443e-15 4.5292154425529714e-17
5.892989160043636 9.95242463956918e-24 1.5568041227742592e-15 1.5109568197873708e-15 4.5847302986888785e-17
5.915130176081913 1.0367091729963556e-23 1.6277611580184002e-15 1.581338750177156e-15 4.6422407841244485e-17
5.95966208400165 1.1519309007861725e-23 1.822290022196971e-15 1.774565412851841e-15 4.772460934513013e-17
6.004529249263818 1.31641584236893e-23 2.0981739847437646e-15 2.048988212012003e-15 4.918577273176161e-17
6.027089341400364 1.4302696801644357e-23 2.2882053385709156e-15 2.2381794547159187e-15 5.002588385499602e-17
6.049734195844842 1.564043159807107e-23 2.5116230495803854e-15 2.4607080082709242e-15 5.091504130946221e-17
6.095279466722835 1.9492218608960334e-23 3.1537286913898722e-15 3.100642465875482e-15 5.308622551439053e-17
6.141167624020661 2.5386228193619016e-23 4.138267538018917e-15 4.082381102396898e-15 5.588643562201894e-17
6.164241091010745 2.9147981866607523e-23 4.7693318302725595e-15 4.71169651172883e-15 5.763531854372974e-17
6.187401249150058 3.3408631765903697e-23 5.487018233846566e-15 5.427584548473848e-15 5.943368537272018e-17
6.1990139391386085 3.548727102649729e-23 5.839351915533334e-15 5.77900263958079e-15 6.034927595254504e-17
6.204828454712694 3.6580083428558364e-23 6.024817606197642e-15 5.9640056075814105e-15 6.081199861623005e-17
6.210648424152782 3.73776632683485e-23 6.1619550426657824e-15 6.100746774196218e-15 6.120826846956469e-17
6.233982942956859 4.007934370815873e-23 6.632169913423259e-15 6.569571375381735e-15 6.259853804152332e-17
6.239830258556775 4.0420695344978726e-23 6.694929207258962e-15 6.632131242088171e-15 6.279796517079036e-17
