Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
0.9927057738263894 1.62814156744799e-21 4.290245506820307e-14 4.2902446151709495e-14 8.916493586294713e-21
1.0001793341362166 1.6554961301247026e-21 4.3951679966449864e-14 4.395166923719443e-14 1.0729255431529013e-20
1.0077091589558085 1.6829640350312792e-21 4.501730313948685e-14 4.501729024616905e-14 1.2893317795122615e-20
1.0114953028030835 1.6967393348134733e-21 4.5556298654985064e-14 4.5556284528168115e-14 1.4126816948777268e-20
1.0152956718711033 1.7105416064068345e-21 4.609943578953698e-14 4.60994203163929e-14 1.5473144072266305e-20
1.0229392996569957 1.7382118933729495e-21 4.7197828083532207e-14 4.7197809538971266e-14 1.8544560938886482e-20
1.0267826658714554 1.752048552146896e-21 4.7752278455611114e-14 4.77522581632183e-14 2.029239281637581e-20
1.0306404723013447 1.7659098417848643e-21 4.831090274245836e-14 4.831088054492649e-14 2.2197531878402595e-20
1.03451277320114 1.7797953851157584e-21 4.887371665602734e-14 4.887369238261254e-14 2.4273414788969638e-20
1.0383996230291617 1.793704819321571e-21 4.9440736294721295e-14 4.9440709760161616e-14 2.6534559679123474e-20
1.0403485208654093 1.800668386140898e-21 4.972582840167137e-14 4.9725800662213476e-14 2.77394578876631e-20
1.0423010764483396 1.8076377963205126e-21 5.0011978160731864e-14 5.0011949164084434e-14 2.8996647439779e-20
1.0462171883269815 1.8215939831502578e-21 5.05874591776964e-14 5.0587427501087765e-14 3.1676608654812865e-20
1.0471985131304309 1.8250866188453506e-21 5.073199382409245e-14 5.073196144134029e-14 3.238275218542404e-20
1.048180758391296 1.8285806804295064e-21 5.08767947760798e-14 5.0876761672132724e-14 3.310394706830932e-20
1.0501480137395462 1.835573062351214e-21 5.1167196708675584e-14 5.1167162115959055e-14 3.459271652963724e-20
1.0521189612883777 1.8425710917181075e-21 5.145866721752854e-14 5.1458631072101284e-14 3.614542726415334e-20
1.0531058218030118 1.846067597996215e-21 5.1604674894020627e-14 5.1604637947395316e-14 3.694662531924907e-20
1.0540936079674168 1.849550383975943e-21 5.1750527305537927e-14 5.175048954056114e-14 3.776497678986881e-20
1.058054026499678 1.863494816485219e-21 5.2336595264281645e-14 5.2336554049151124e-14 4.1215130516847405e-20
1.0590464539527713 1.8669842261105262e-21 5.2483778278403764e-14 5.2483736154755826e-14 4.21236479504892e-20
1.06003981227728 1.8704749483086786e-21 5.2631228287810517e-14 5.263118523651284e-14 4.305129768187374e-20
1.0620293250338977 1.8774603149099324e-21 5.292693047978101e-14 5.292688551424924e-14 4.496553176526169e-20
1.0660195594769086 1.8914466321603376e-21 5.352155198400977e-14 5.352150294309602e-14 4.904091374798672e-20
1.070024785945596 1.9054535387203437e-21 5.4120479346704143e-14 5.4120425878780364e-14 5.3467923795271304e-20
1.0740450607676866 1.9194808230277038e-21 5.472373269533577e-14 5.472367442007456e-14 5.827526119761757e-20
1.07808044048254 1.9335282918537553e-21 5.533133273541783e-14 5.5331269241593683e-14 6.349382416650968e-20
1.0861967418109137 1.9616616943037677e-21 5.6559041434934866e-14 5.6558966134762305e-14 7.530017255412967e-20
