Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
1.3400274889804893 5.683913239424708e-25 2.0217645656969827e-17 2.0217645656969827e-17 7.240163276876531e-35
1.3808389325824078 5.832776845996997e-25 2.1379021188947093e-17 2.1379021188947093e-17 1.95461738478787e-34
1.4228933163050095 5.96883647947888e-25 2.254402480842536e-17 2.2544024808425352e-17 5.139239452901693e-34
1.466228494730424 6.095432390982223e-25 2.372332764315197e-17 2.3723327643151968e-17 1.3164023191683633e-33
1.5108834753276823 6.210071588180797e-25 2.4905600128024817e-17 2.4905600128024817e-17 3.2855335400959516e-33
1.5568984535646726 6.310742703628711e-25 2.6080156560380185e-17 2.6080156560380173e-17 7.99221288817014e-33
1.6043148490894465 6.397648993534606e-25 2.724453783736004e-17 2.7244537837360017e-17 1.8956420668727222e-32
1.6531753430134553 6.471076073167815e-25 2.83965028155637e-17 2.8396502815563656e-17 4.385877685357107e-32
1.7035239163302658 6.531938356588273e-25 2.953654859412394e-17 2.9536548594123847e-17 9.903386355350328e-32
1.755405889504358 6.5854484181430015e-25 3.068543869488343e-17 3.0685438694883214e-17 2.183951994374223e-31
1.8088679632656115 6.630330765992751e-25 3.183548676572235e-17 3.183548676572188e-17 4.705682448972782e-31
1.8639582606462262 6.665726428718011e-25 3.298018608018814e-17 3.298018608018715e-17 9.911223692287228e-31
1.9207263702978936 6.69227452042949e-25 3.411997306653157e-17 3.4119973066529524e-17 2.0416326689177037e-30
1.979223391128241 6.711450376475407e-25 3.525986388367584e-17 3.5259863883671715e-17 4.1155510342849425e-30
2.039501978296691 6.7250166187152755e-25 3.640717034930016e-17 3.6407170349292036e-17 8.123232742385277e-30
2.1016163906111602 6.73789108848585e-25 3.758779647858543e-17 3.758779647856973e-17 1.5710012290299025e-29
2.1656225393682647 6.752925832416767e-25 3.881898500543141e-17 3.8818985005401626e-17 2.978788610679022e-29
2.231578038680979 6.770329335341467e-25 4.010433384177026e-17 4.010433384171485e-17 5.540080543942952e-29
2.299542257339062 6.7918103489634e-25 4.145685744733405e-17 4.145685744723293e-17 1.0111779220001813e-28
2.369576372248914 6.821142636329618e-25 4.2903949709442526e-17 4.2903949709261303e-17 1.812265188080037e-28
2.4417434235010123 6.86278248925328e-25 4.4480503456360604e-17 4.448050345604149e-17 3.1910723016630654e-28
2.5161083711144245 6.924357115276333e-25 4.624643220832953e-17 4.624643220777714e-17 5.523838458047564e-28
2.5927381535095444 7.018350428663784e-25 4.8301780559910264e-17 4.830178055896963e-17 9.406357459669891e-28
2.6717017477616296 7.159679338614033e-25 5.077512246523544e-17 5.0775122463658934e-17 1.5764959418170538e-27
2.753070231689431 7.370802870598515e-25 5.386436196288454e-17 5.3864361960283055e-17 2.6014828552849643e-27
2.836916847834745 7.702597995661353e-25 5.800337600973874e-17 5.800337600550914e-17 4.2295938653902075e-27
2.9233170693905177 8.267120763548081e-25 6.415043966257656e-17 6.415043965579704e-17 6.779535297360799e-27
2.967498994190263 8.747276771025053e-25 6.890216712692216e-17 6.890216711838175e-17 8.540416235290842e-27
3.0123486681368425 9.30824840474051e-25 7.442907746671768e-17 7.442907745599496e-17 1.0722704635032652e-26
3.0578761833420214 1.0564652462057645e-24 8.575205656310947e-17 8.575205654967289e-17 1.3436588857686263e-26
3.1040917844459814 1.2184338979429878e-24 1.0039358441165422e-16 1.0039358439486868e-16 1.6785540828487154e-26
3.127460860933648 1.389811654881416e-24 1.153764748785507e-16 1.153764748597792e-16 1.877151476721868e-26
