Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
0.9927057738263894 5.387451282826331e-26 1.4196240131371325e-18 1.4196240131371325e-18 3.229007732670819e-40
1.0001793341362166 5.476076750523124e-26 1.4538407455689994e-18 1.4538407455689994e-18 4.461090477813506e-40
1.0077091589558085 5.564565618348831e-26 1.4884556774032289e-18 1.4884556774032289e-18 6.155067108287193e-40
1.0114953028030835 5.608747921508516e-26 1.5059107203456084e-18 1.5059107203456084e-18 7.2261615222216045e-40
1.0152956718711033 5.652883023250163e-26 1.5234631942305693e-18 1.5234631942305693e-18 8.480731239107602e-40
1.0229392996569957 5.740950889233696e-26 1.5588456973462692e-18 1.5588456973462692e-18 1.1668915721073726e-39
1.0267826658714554 5.784776436966758e-26 1.5766472617611242e-18 1.5766472617611242e-18 1.3680373671006168e-39
1.0306404723013447 5.828535397135931e-26 1.5945423715256364e-18 1.5945423715256364e-18 1.6032832189379993e-39
1.03451277320114 5.872223545692351e-26 1.6125302498992255e-18 1.6125302498992255e-18 1.878303852892575e-39
1.0383996230291617 5.915836682500803e-26 1.6306101106021804e-18 1.6306101106021804e-18 2.19969895268753e-39
1.0403485208654093 5.937613815693305e-26 1.6396842860518545e-18 1.6396842860518545e-18 2.3801380427828224e-39
1.0423010764483396 5.959370632139362e-26 1.648781158000389e-18 1.648781158000389e-18 2.575140463277897e-39
1.0462171883269815 6.002821244681485e-26 1.6670425872903462e-18 1.6670425872903462e-18 3.013542751497426e-39
1.0471985131304309 6.013670392565693e-26 1.6716219716124169e-18 1.6716219716124169e-18 3.134159499666669e-39
1.048180758391296 6.024514009849085e-26 1.676206941181919e-18 1.676206941181919e-18 3.259527398907375e-39
1.0501480137395462 6.046184396459861e-26 1.6853935846842003e-18 1.6853935846842003e-18 3.52525907072454e-39
1.0521189612883777 6.067831893280772e-26 1.6946024147002679e-18 1.6946024147002679e-18 3.812293931668999e-39
1.0531058218030118 6.078630197156251e-26 1.6992104485540515e-18 1.6992104485540515e-18 3.964317244384742e-39
1.0540936079674168 6.089367868704377e-26 1.703808670977789e-18 1.703808670977789e-18 4.1222988551289594e-39
1.058054026499678 6.132255904107533e-26 1.7222553691649782e-18 1.7222553691649782e-18 4.81858963522469e-39
1.0590464539527713 6.142961936648936e-26 1.7268804296618084e-18 1.7268804296618084e-18 5.010014571903156e-39
1.06003981227728 6.153661453627927e-26 1.7315108179590725e-18 1.7315108179590725e-18 5.208918495590366e-39
1.0620293250338977 6.175040691759738e-26 1.7407875245462398e-18 1.7407875245462398e-18 5.630321510128005e-39
1.0660195594769086 6.217718247397657e-26 1.7594042821072304e-18 1.7594042821072304e-18 6.576241856322383e-39
1.070024785945596 6.260284617334623e-26 1.7781047790043965e-18 1.7781047790043965e-18 7.678073267623739e-39
1.0740450607676866 6.302735879104316e-26 1.796888144750319e-18 1.796888144750319e-18 8.960973807110609e-39
1.07808044048254 6.345068142086908e-26 1.815753501398803e-18 1.815753501398803e-18 1.0454066473202305e-38
1.0861967418109137 6.429285097734655e-26 1.853704965008478e-18 1.853704965008478e-18 1.4210861617422754e-38
1.0902777775684922 6.470991236204802e-26 1.8727396473208137e-18 1.8727396473208137e-18 1.655850225313532e-38
1.0943741465085532 6.512560170446364e-26 1.8918513385945195e-18 1.8918513385945195e-18 1.9286060641768186e-38
1.1026131145906286 6.59527165918786e-26 1.930302066453267e-18 1.930302066453267e-18 2.61305821270682e-38
1.1109141095355224 6.677390391135417e-26 1.969049724781972e-18 1.969049724781972e-18 3.5344971153031004e-38
1.1192775983109025 6.758811144078207e-26 2.0080640273585228e-18 2.0080640273585228e-18 4.772756251109908e-38
1.1277040513999907 6.839153935191698e-26 2.0472314876903342e-18 2.0472314876903342e-18 6.433702344065959e-38
1.1361939428280308 6.918809172511174e-26 2.0866675158562555e-18 2.0866675158562555e-18 8.657668224382998e-38
1.1447477501889525 6.997750323992271e-26 2.126364312487707e-18 2.126364312487707e-18 1.163006635558387e-37
1.1533659546722406 7.075994769372702e-26 2.16632725607877e-18 2.16632725607877e-18 1.5595498168067378e-37
1.1707974979042381 7.230648569616769e-26 2.2471314229379726e-18 2.2471314229379726e-18 2.78949506261866e-37
1.1884924949847024 7.382182387249978e-26 2.3288989630894603e-18 2.3288989630894603e-18 4.953738090660273e-37
1.2064549276569216 7.531789707136955e-26 2.412007869171153e-18 2.412007869171153e-18 8.734035361239825e-37
1.2246888378427687 7.677827434298654e-26 2.4959365417836825e-18 2.4959365417836825e-18 1.5287151538413036e-36
1.2431983285522175 7.819953393865412e-26 2.58056032159362e-18 2.58056032159362e-18 2.6561614033577547e-36
1.2619875648066055 7.958115215801766e-26 2.6658439957630857e-18 2.6658439957630857e-18 4.5813495615882686e-36
1.3004222497298317 8.220240498103035e-26 2.837516191260299e-18 2.837516191260299e-18 1.33318510346585e-35
1.3400274889804893 8.463181257019886e-26 3.0103485499798872e-18 3.0103485499798872e-18 3.7676875578958684e-35
1.3808389325824078 8.686039990121164e-26 3.1837157137991044e-18 3.1837157137991044e-18 1.0343869015054576e-34
1.4228933163050095 8.889919960634494e-26 3.3576824700508032e-18 3.357682470050802e-18 2.7599440404557773e-34
1.466228494730424 9.079780094335951e-26 3.5338362283268794e-18 3.5338362283268794e-18 7.161185509826132e-34
1.5108834753276823 9.251894882606978e-26 3.710488536255823e-18 3.710488536255821e-18 1.8076515175762696e-33
1.5568984535646726 9.403252431897696e-26 3.886044909732325e-18 3.88604490973232e-18 4.44109590541193e-33
1.6043148490894465 9.534136698608396e-26 4.060134407097093e-18 4.0601344070970836e-18 1.0625923967365567e-32
